Property,Archaea,Bacteria,Eukaryota
Cell membrane,Ether-linked lipids,Ester-linked lipids,Ester-linked lipids
Cell wall,"Glycoprotein, or S-layer; rarely pseudopeptidoglycan","Peptidoglycan, S-layer, or no cell wall",Various structures; animal cells lack a cell wall
Gene structure,"Circular chromosomes, similar translation and transcription to Eukaryota","Circular chromosomes, unique translation and transcription","Multiple, linear chromosomes, but translation and transcription similar to Archaea"
Internal cell structure,No nucleus; rarely has membrane-bound organelles[5],No nucleus or membrane-bound organelles,Has nucleus and other membrane-bound organelles
Metabolism[6],"Various, including diazotrophy, with methanogenesis unique to Archaea","Various, including photosynthesis, aerobic and anaerobic respiration, fermentation, diazotrophy, and autotrophy","Photosynthesis, cellular respiration, and fermentation; no diazotrophy"
Reproduction,"Asexual reproduction, horizontal gene transfer","Asexual reproduction, horizontal gene transfer",Sexual and asexual reproduction
Protein synthesis initiation,Methionine,Formylmethionine,Methionine
RNA polymerase,One,One,Many
EF-2/EF-G,Sensitive to diphtheria toxin,Resistant to diphtheria toxin,Sensitive to diphtheria toxin
