Code,Code,Code,Association,Association,Association,Gridiron,Gridiron,Gridiron,Gridiron,Rugby,Rugby,International and related,International and related,International and related
Code,Code.1,Code.2,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1
Soccer[177],Beach[178],Futsal[179],American[180],Flag[181],Indoor[182][183],Canadian,Union,League,Australian,International,Gaelic,,,
Image,Image,Image,,,,,,,,,,,,
Country of origin,Country of origin,Country of origin,England,Brazil,Uruguay,United States,United States,United States,Canada,England,England,Australia,Compromise rules between Australian and Gaelic codes,Ireland
Governing Body,Governing Body,Governing Body,FIFA,FIFA,FIFA,IFAF,IFAF,,Football Canada[184],World Rugby[185],IRL[186],AFL Commission[187],AFL and GAA[188],GAA[189]
Pitch,Shape,Shape,Rectangular,Rectangular,Rectangular,Rectangular,Rectangular,Rounded rectangular,Rectangular,Rectangular,Rectangular,Oval,Rectangular,Rectangular
Pitch,Total length,Total length,100–130 yards (91–119 m) 110–120 yards (100–110 m) (international),35–37 metres,25–42 metres 38–42 metres (international),120 yards (110 m),"70 yards (64 m) (standard, 5 a side)",66 yards (60 m),150 yards (140 m),106–144 metres,112–122 metres,135–185 metres (professional),145 metres,130–145 metres
Pitch,Total width,Total width,50–100 yards (46–91 m) 70–80 yards (64–73 m) (international),26–28 metres,16–25 metres 20–25 metres (international),160 feet (49 m),"25 yards (23 m) (standard, 5 a side)",28 yards (26 m),65 yards (59 m),68–70 metres,68 metres,110–155 metres (professional),90 metres,80–90 metres
Pitch,Surface,Surface,"grass, artificial",sand,"wood, artificial","grass, artificial","solid, sand",artificial,"grass, artificial","grass, sand, clay, snow, artificial",grass,grass,grass,grass
Pitch,Goalposts,Shape,Netted rectangular,Netted rectangular,Netted rectangular,Carving fork,,"Uppercase H, with bouncing nets/ Uppercase U (hanged)",Carving fork,Uppercase H,Uppercase H,4 posts,Uppercase H (netted bottom) + 2 post,Uppercase H (netted bottom)
Pitch,Goalposts,Width,8 yards (7.3 m),5.5 metres,3 metres,222 inches (5.6 m),,10 feet (3.0 m),222 inches (5.6 m),5.6 metres,5.5 metres,2 goal posts (6.4 metres apart) + 2 behind posts (6.4 metres apart from each side of goal post),2 goal posts (6.4 metres apart) + 2 behind posts (6.4 metres apart from each side of goal post),6.5 metres
Pitch,Goalposts,Height,8 feet (2.4 m),2.2 metres,2 metres,10 feet (3.0 m) above ground,,10 feet (3.0 m) above ground,10 feet (3.0 m) above ground,3 metres above ground,3 metres above ground,Goal posts: 6–15 metres Behind posts: 3–10 metres,"Goal posts: 6 metres, crossbar at 2.5 metres Behind posts: 3 metres","7 meters, crossbar at 2.5 meters, netted bottom 0.9 meters in depth"
Equipment,Football,Shape,Sphere,Sphere,Sphere,Lemon[190],Lemon[190],Lemon[190],Lemon[190],Prolate spheroid,Prolate spheroid,Prolate spheroid,Sphere,Sphere
Equipment,Football,Circumference,27–28 inches (69–71 cm),68–70 centimetres,62–64 centimetres,27.75–28.5 inches (70.5–72.4 cm) (longitudinal) × 20.75–21.25 inches (52.7–54.0 cm) (transversal),27–28 inches (69–71 cm) (longitudinal) 20–21 inches (51–53 cm) (transversal),,27.75–28.5 inches (70.5–72.4 cm) (longitudinal) 20.75–21.375 inches (52.71–54.29 cm) (transversal),74 – 77 centimetres (elliptic) × 58 – 62 centimetres (circular),,72 – 73 centimetres (elliptic) × 54.5 -55.5 centimetres (circular),68–70 centimetres,68–70 centimetres
Equipment,Football,Diameter,–,–,–,10.875–11.4375 inches (27.623–29.051 cm) (longitudinal),11–11.5 inches (28–29 cm) (longitudinal) 6.25–6.75 inches (15.9–17.1 cm) (transversal),,10.875–11.4375 inches (27.623–29.051 cm) (longitudinal) 6.25–6.75 inches (15.9–17.1 cm) (transversal),28–30 centimetres (longitudinal),–,–,–,–
Equipment,Football,Weight,14–16 ounces (400–450 g),400–440 grams,400–440 grams,14–15 ounces (400–430 g),14–15 ounces (400–430 g),14–15 ounces (400–430 g),14–15 ounces (400–430 g),410 – 460 grams,,,480–500 grams,480–500 grams
Equipment,Football,Pressure,8.5–15.6 pounds per square inch (59–108 kPa),0.4–0.6 standard atmospheres (41–61 kPa),0.6–0.9 standard atmospheres (61–91 kPa),12.5–13.5 pounds per square inch (86–93 kPa),12.5–13.5 pounds per square inch (86–93 kPa),12.5–13.5 pounds per square inch (86–93 kPa),12.5–13.5 pounds per square inch (86–93 kPa),9.5–10 pounds per square inch (66–69 kPa),,69 kilopascals,9–10 pounds per square inch (62–69 kPa),9–10 pounds per square inch (62–69 kPa)
Equipment,Football,Bounce,,,50–65 centimetres when dropped from 2 metres,,,,,,,,0.5222–0.576 e when dropped from 1.8 metres,0.5222–0.576 e when dropped from 1.8 metres
Equipment,Uniform,Non protective,"Shirt with sleeves, shorts, socks, footwear","Shirt with sleeves, shorts, no footwear allowed","Shirt with sleeves, shorts, socks, footwear","Jersey, pants, socks","Jersey, shorts or pants, flag belts","Jersey, pants, socks, footwear","Jersey, pants, socks, footwear","Shirt, shorts, socks, footwear","Shirt, shorts, socks, footwear","Sleeveless shirt, shorts, socks, footwear","Shirt with sleeves, shorts, socks, footwear","Shirt with sleeves, shorts, socks, footwear"
Equipment,Uniform,Protective gear,Shin guards,,Shin guards,"Helmet, hip pads, knee pads, mouthguard, shoulder pads, thigh guards",Mouthguard (recommended),"Helmet, hip pads, knee pads, mouthguard, shoulder pads, thigh guards","Helmet, hip pads, knee pads, mouthguard, shoulder pads, thigh guards","Optional (headgear, padded clothes, mouthguard, shin guards, goggles)","Optional (headgear, padded clothes, mouthguard, shin guards, goggles)",,,Mouthguard
Players,Number[191],Number[191],11,5,5,11,5,8,12,15,13,18,15,15
Players,Goalkeeper,Goalkeeper,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes
Time,Duration,Duration,2 × 45 minutes,3 × 12 minutes,2 × 20 minutes,4 × 15 minutes,2 × 20 minutes,4 × 15 minutes,4 × 15 minutes,2 × 40 minutes,2 × 40 minutes,4 × 20 minutes,4 × 18 minutes,2 × 35 minutes
Time,Clock stoppage,Clock stoppage,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Kicking,Type of kicks,Type of kicks,"Off the ground, bicycle, placed, dribbling","Off the ground, bicycle, placed, dribbling","Off the ground, bicycle, placed, dribbling","Placed, punt",,Placed,"Placed, punt","Off the ground, grubber, dropped, bomb, punt, placed","Off the ground, grubber, dropped, bomb, punt, placed","Off the ground, grubber, bomb, punt","Off the ground, grubber, bomb, punt","Off the ground, grubber, bomb, dropped, punt, bicycle"
Kicking,Kickoff,Kickoff,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,No,No
Use of hands,Use of hands,Use of hands,"Only goalkeeper, but all in throw-in","Only goalkeeper, but all in throw-in",Only goalkeeper,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Forward pass,Forward pass,Forward pass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Offside rule,Offside rule,Offside rule,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Type of tackles,Type of tackles,Type of tackles,"Sliding, standing","Sliding, standing","Sliding, standing","Spear, dump, body tackle, ankle tap, diving, bumping, shoulder charge, intercept ball, chicken wig",,"Spear, dump, body tackle, ankle tap, diving, bumping, shoulder charge, intercept ball, chicken wig","Spear, dump, body tackle, ankle tap, diving, bumping, shoulder charge, intercept ball, chicken wig","Dump, body tackle, ankle tap, diving, charge down","Dump, body tackle, ankle tap, diving, charge down","Dump, diving, bumping, intercept ball, spoil, shepherd, smother","Dump, diving, bumping, intercept ball, spoil, shepherd, smother",
Score,Score,Score,Goal 1,Goal 1,Goal 1,"Touchdown 6, Field goal 3, try 1 or 2, Safety 2","Touchdown 6, try 1 or 2, safety 2, defense touchdown on a try 2","Touchdown 6, Field goal 3 or 4 (drop kick), try 1 or 2, Safety 2, defense touchdown on a try 2, Rouge 1, Deuce 2","Touchdown 6, Field goal 3, Convert 1 or 2, Safety 2, Single 1","Try 5, Conversion 2, Penalty 3, Drop goal 3","Try 4, Conversion 2, Penalty 2, Drop goal 1 (2 points when kicked from 40m+)","Goal 6, behind 1","Goal 6, over 3, behind 1","Goal 3, over 1 (2 points when kicked from outside 40 m arc)"
Methods for breaking ties,Methods for breaking ties,Methods for breaking ties,"Knock-out contests: extratime, penaltyshot-out","Knock-out contests: extratime, penaltyshot-out","Knock-out contests: extratime, penaltyshot-out",Extra periods,Extra periods,Extra periods,Extra periods,Extratime (knock-out contests),,,,Extratime
Methods for starting play,partials,partials,Kick-off,Kick-off,Kick-off,Kickoff (each half),Scrimmage,,,Kick off,Kick off,By umpire: ball-up,By umpire: central throw up,By umpire: central throw up
Methods for starting play,After scoring,After scoring,Kick-off,Kick-off,Kick-off,"After touchdown: scrimmage for try After try, field goal or safety: kickoff",,,,Restart kick,Kick off,Goal: ball-up Behind: kick in,"Goal: central throw up Behind and over: kicked into play by the Goalkeeper, from inside the 13 m rectangle",Kick out
Methods for starting play,when ball goes out of bounds,when ball goes out of bounds,"Touchlines: throw-in Goal lines: goal kick (by defending team), corner kick (by attacking team)",Touchlines: throw-in or kick-in,Touchlines: kick-in,Scrimmage,,,,Touch: lineout or quick throw,Touchlines: scrum,Free kick or throw in (by umpire),Sidelines: free kick Endlines: free kick (within 13 m rectangle by defending team) or on the nearest 45 m line (by attacking team),"Sidelines: free kick from the hand from outside Endlines: Kick out (by defending team), free kick on the nearest 45 m line (by attacking team)"
Methods for starting play,when ball goes out of bounds,when ball goes out of bounds,"Touchlines: throw-in Goal lines: goal kick (by defending team), corner kick (by attacking team)","Goal lines: goal clearance (by defending team), corner kick (by attacking team)","Goal lines: goal clearance (by defending team), corner kick (by attacking team)",Scrimmage,,,,Touch: lineout or quick throw,Touchlines: scrum,Free kick or throw in (by umpire),Sidelines: free kick Endlines: free kick (within 13 m rectangle by defending team) or on the nearest 45 m line (by attacking team),"Sidelines: free kick from the hand from outside Endlines: Kick out (by defending team), free kick on the nearest 45 m line (by attacking team)"
Methods for starting play,After foul,After foul,"Free kick, penalty kick","Free kick, penalty kick","Free kick, penalty kick",,,,,"Scrum, penalty kick",,Free kick,"Free kick, penalty kick","Free kick, throw in, penalty kick"
Tournaments,World nation championship,World nation championship,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No (only Australia vs Ireland),No
Tournaments,Olympic,Olympic,Yes,No,"2018, 2026 (SYOG)",1932 (demonstration),2028,No,No,"1900, 1908, 1920, 1924 (sevens since 2016)",No,1956 (demonstration),No,No
Tournaments,World Games,World Games,No,No,No,Invitational (2005 and 2017),Yes,No,No,Sevens (2001–2013),No,No,No,No
Tournaments,Professional leagues,Professional leagues,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No (strictly amateur)
